driver_id,permanent_number,code,given_name,family_name,date_of_birth,nationality
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque
russell,63,RUS,George,Russell,1998-02-15,British
norris,4,NOR,Lando,Norris,1999-11-13,British
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British
piastri,81,PIA,Oscar,Piastri,2001-04-06,Australian
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian
zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish
ricciardo,3,RIC,Daniel,Ricciardo,1989-07-01,Australian
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese
albon,23,ALB,Alexander,Albon,1996-03-23,Thai
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German
ocon,31,OCO,Esteban,Ocon,1996-09-17,French
gasly,10,GAS,Pierre,Gasly,1996-02-07,French
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish
sargeant,2,SAR,Logan,Sargeant,2000-12-31,American
bearman,38,BEA,Oliver,Bearman,2005-05-08,British
