race_id,driver_id,constructor_id,car_number,grid_position,final_position,position_text,points,laps_completed,status,time_millis,time_text
2024_2,hulkenberg,haas,27,15,10,10,1.0,50,Finished,4920269,+1:16.996
2024_2,albon,williams,23,12,11,11,0.0,50,Finished,4931627,+1:28.354
2024_2,kevin_magnussen,haas,20,13,12,12,0.0,50,Finished,4955646,+1:45.7373
2024_2,ocon,alpine,31,17,13,13,0.0,49,+1 Lap,,
2024_2,sargeant,williams,2,19,14,14,0.0,49,+1 Lap,,
2024_2,tsunoda,rb,22,9,15,15,0.0,49,+1 Lap,,
2024_2,ricciardo,rb,3,14,16,16,0.0,49,+1 Lap,,
2024_2,bottas,sauber,77,16,17,17,0.0,49,+1 Lap,,
2024_2,zhou,sauber,24,20,18,18,0.0,49,+1 Lap,,
2024_2,stroll,aston_martin,18,10,19,R,0.0,5,Accident,,
2024_2,gasly,alpine,10,18,20,R,0.0,1,Gearbox,,
2024_3,sainz,ferrari,55,2,1,1,25.0,58,Finished,4826843,1:20:26.843
2024_3,leclerc,ferrari,16,4,2,2,19.0,58,Finished,4829209,+2.366
2024_3,norris,mclaren,4,3,3,3,15.0,58,Finished,4832747,+5.904
2024_3,piastri,mclaren,81,5,4,4,12.0,58,Finished,4862613,+35.770
2024_3,perez,red_bull,11,6,5,5,10.0,58,Finished,4883152,+56.309
2024_3,stroll,aston_martin,18,9,6,6,8.0,58,Finished,4920065,+1:33.222
2024_3,tsunoda,rb,22,8,7,7,6.0,58,Finished,4922444,+1:35.601
2024_3,alonso,aston_martin,14,10,8,8,4.0,58,Finished,4927835,+1:40.992
2024_3,hulkenberg,haas,27,16,9,9,2.0,58,Finished,4931396,+1:44.553
2024_3,kevin_magnussen,haas,20,14,10,10,1.0,57,+1 Lap,,
2024_3,albon,williams,23,12,11,11,0.0,57,+1 Lap,,
2024_3,ricciardo,rb,3,18,12,12,0.0,57,+1 Lap,,
2024_3,gasly,alpine,10,17,13,13,0.0,57,+1 Lap,,
2024_3,bottas,sauber,77,13,14,14,0.0,57,+1 Lap,,
2024_3,zhou,sauber,24,19,15,15,0.0,57,+1 Lap,,
2024_3,ocon,alpine,31,15,16,16,0.0,57,+1 Lap,,
2024_3,russell,mercedes,63,7,17,17,0.0,56,Accident,,
2024_3,hamilton,mercedes,44,11,18,R,0.0,15,Engine,,
2024_3,max_verstappen,red_bull,1,1,19,R,0.0,3,Brakes,,
2024_4,max_verstappen,red_bull,1,1,1,1,26.0,53,Finished,6863566,1:54:23.566
2024_4,perez,red_bull,11,2,2,2,18.0,53,Finished,6876101,+12.535
2024_4,sainz,ferrari,55,4,3,3,15.0,53,Finished,6884432,+20.866
2024_4,leclerc,ferrari,16,8,4,4,12.0,53,Finished,6890088,+26.522
2024_4,norris,mclaren,4,3,5,5,10.0,53,Finished,6893266,+29.700
2024_4,alonso,aston_martin,14,5,6,6,8.0,53,Finished,6907838,+44.272
2024_4,russell,mercedes,63,9,7,7,6.0,53,Finished,6909517,+45.951
2024_4,piastri,mclaren,81,6,8,8,4.0,53,Finished,6911091,+47.525
2024_4,hamilton,mercedes,44,7,9,9,2.0,53,Finished,6912192,+48.626
2024_4,tsunoda,rb,22,10,10,10,1.0,52,+1 Lap,,
2024_4,hulkenberg,haas,27,12,11,11,0.0,52,+1 Lap,,
2024_4,stroll,aston_martin,18,16,12,12,0.0,52,+1 Lap,,
2024_4,kevin_magnussen,haas,20,18,13,13,0.0,52,+1 Lap,,
2024_4,bottas,sauber,77,13,14,14,0.0,52,+1 Lap,,
2024_4,ocon,alpine,31,15,15,15,0.0,52,+1 Lap,,
2024_4,gasly,alpine,10,17,16,16,0.0,52,+1 Lap,,
2024_4,sargeant,williams,2,19,17,17,0.0,52,+1 Lap,,
2024_4,zhou,sauber,24,20,18,R,0.0,12,Gearbox,,
2024_4,ricciardo,rb,3,11,19,R,0.0,0,Accident,,
2024_4,albon,williams,23,14,20,R,0.0,0,Accident,,
2024_5,max_verstappen,red_bull,1,1,1,1,25.0,56,Finished,6052554,1:40:52.554
2024_5,norris,mclaren,4,4,2,2,18.0,56,Finished,6066327,+13.773
2024_5,perez,red_bull,11,2,3,3,15.0,56,Finished,6071714,+19.160
2024_5,leclerc,ferrari,16,6,4,4,12.0,56,Finished,6076177,+23.623
2024_5,sainz,ferrari,55,7,5,5,10.0,56,Finished,6086537,+33.983
2024_5,russell,mercedes,63,8,6,6,8.0,56,Finished,6091278,+38.724
2024_5,alonso,aston_martin,14,3,7,7,7.0,56,Finished,6095968,+43.414
2024_5,piastri,mclaren,81,5,8,8,4.0,56,Finished,6108752,+56.198
2024_5,hamilton,mercedes,44,18,9,9,2.0,56,Finished,6110540,+57.986
2024_5,hulkenberg,haas,27,9,10,10,1.0,56,Finished,6113030,+1:00.476
2024_5,ocon,alpine,31,13,11,11,0.0,56,Finished,6115366,+1:02.812
2024_5,albon,williams,23,14,12,12,0.0,56,Finished,6118060,+1:05.506
2024_5,gasly,alpine,10,15,13,13,0.0,56,Finished,6121777,+1:09.223
2024_5,zhou,sauber,24,16,14,14,0.0,56,Finished,6124243,+1:11.689
2024_5,stroll,aston_martin,18,11,15,15,0.0,56,Finished,6135340,+1:22.786
2024_5,kevin_magnussen,haas,20,17,16,16,0.0,56,Finished,6140087,+1:27.533
2024_5,sargeant,williams,2,20,17,17,0.0,56,Finished,6147664,+1:35.110
2024_5,ricciardo,rb,3,12,18,R,0.0,33,Retired,,
2024_5,tsunoda,rb,22,19,19,R,0.0,26,Retired,,
2024_5,bottas,sauber,77,10,20,R,0.0,19,Retired,,
2024_6,norris,mclaren,4,5,1,1,25.0,57,Finished,5449876,1:30:49.876
2024_6,max_verstappen,red_bull,1,1,2,2,18.0,57,Finished,5457488,+7.612
2024_6,leclerc,ferrari,16,2,3,3,15.0,57,Finished,5459796,+9.920
2024_6,perez,red_bull,11,4,4,4,12.0,57,Finished,5464526,+14.650
2024_6,sainz,ferrari,55,3,5,5,10.0,57,Finished,5466283,+16.407
2024_6,hamilton,mercedes,44,8,6,6,8.0,57,Finished,5466461,+16.585
2024_6,tsunoda,rb,22,10,7,7,6.0,57,Finished,5476061,+26.185
2024_6,russell,mercedes,63,7,8,8,4.0,57,Finished,5484665,+34.789
2024_6,alonso,aston_martin,14,15,9,9,2.0,57,Finished,5486983,+37.107
2024_6,ocon,alpine,31,13,10,10,1.0,57,Finished,5489622,+39.746
2024_6,hulkenberg,haas,27,9,11,11,0.0,57,Finished,5490665,+40.789
2024_6,gasly,alpine,10,12,12,12,0.0,57,Finished,5494834,+44.958
2024_6,piastri,mclaren,81,6,13,13,0.0,57,Finished,5499632,+49.756
2024_6,zhou,sauber,24,19,14,14,0.0,57,Finished,5499855,+49.979
2024_6,ricciardo,rb,3,20,15,15,0.0,57,Finished,5500832,+50.956
2024_6,bottas,sauber,77,16,16,16,0.0,57,Finished,5502232,+52.356
2024_6,stroll,aston_martin,18,11,17,17,0.0,57,Finished,5505049,+55.173
2024_6,albon,williams,23,14,18,18,0.0,57,Finished,5525967,+1:16.091
2024_6,kevin_magnussen,haas,20,18,19,19,0.0,57,Finished,5534559,+1:24.683
2024_6,sargeant,williams,2,17,20,R,0.0,27,Collision,,
2024_7,max_verstappen,red_bull,1,1,1,1,25.0,63,Finished,5125252,1:25:25.252
2024_7,norris,mclaren,4,2,2,2,18.0,63,Finished,5125977,+0.725
2024_7,leclerc,ferrari,16,3,3,3,15.0,63,Finished,5133168,+7.916
2024_7,piastri,mclaren,81,5,4,4,12.0,63,Finished,5139384,+14.132
2024_7,sainz,ferrari,55,4,5,5,10.0,63,Finished,5147577,+22.325
2024_7,hamilton,mercedes,44,8,6,6,8.0,63,Finished,5160356,+35.104
2024_7,russell,mercedes,63,6,7,7,7.0,63,Finished,5172406,+47.154
2024_7,perez,red_bull,11,11,8,8,4.0,63,Finished,5180028,+54.776
2024_7,stroll,aston_martin,18,13,9,9,2.0,63,Finished,5204808,+1:19.556
2024_7,tsunoda,rb,22,7,10,10,1.0,62,+1 Lap,,
2024_7,hulkenberg,haas,27,10,11,11,0.0,62,+1 Lap,,
2024_7,kevin_magnussen,haas,20,18,12,12,0.0,62,+1 Lap,,
2024_7,ricciardo,rb,3,9,13,13,0.0,62,+1 Lap,,
2024_7,ocon,alpine,31,12,14,14,0.0,62,+1 Lap,,
2024_7,zhou,sauber,24,17,15,15,0.0,62,+1 Lap,,
2024_7,gasly,alpine,10,15,16,16,0.0,62,+1 Lap,,
2024_7,sargeant,williams,2,19,17,17,0.0,62,+1 Lap,,
2024_7,bottas,sauber,77,16,18,18,0.0,62,+1 Lap,,
2024_7,alonso,aston_martin,14,20,19,19,0.0,62,+1 Lap,,
2024_7,albon,williams,23,14,20,R,0.0,51,Retired,,
2024_8,leclerc,ferrari,16,1,1,1,25.0,78,Finished,8595554,2:23:15.554
2024_8,piastri,mclaren,81,2,2,2,18.0,78,Finished,8602706,+7.152
2024_8,sainz,ferrari,55,3,3,3,15.0,78,Finished,8603139,+7.585
2024_8,norris,mclaren,4,4,4,4,12.0,78,Finished,8604204,+8.650
2024_8,russell,mercedes,63,5,5,5,10.0,78,Finished,8608863,+13.309
2024_8,max_verstappen,red_bull,1,6,6,6,8.0,78,Finished,8609407,+13.853
2024_8,hamilton,mercedes,44,7,7,7,7.0,78,Finished,8610462,+14.908
2024_8,tsunoda,rb,22,8,8,8,4.0,77,+1 Lap,,
2024_8,albon,williams,23,9,9,9,2.0,77,+1 Lap,,
2024_8,gasly,alpine,10,10,10,10,1.0,77,+1 Lap,,
2024_8,alonso,aston_martin,14,14,11,11,0.0,76,+2 Laps,,
2024_8,ricciardo,rb,3,12,12,12,0.0,76,+2 Laps,,
2024_8,bottas,sauber,77,17,13,13,0.0,76,+2 Laps,,
2024_8,stroll,aston_martin,18,13,14,14,0.0,76,+2 Laps,,
2024_8,sargeant,williams,2,15,15,15,0.0,76,+2 Laps,,
2024_8,zhou,sauber,24,18,16,16,0.0,76,+2 Laps,,
2024_8,ocon,alpine,31,11,17,R,0.0,0,Collision,,
2024_8,perez,red_bull,11,16,18,R,0.0,0,Collision,,
2024_8,hulkenberg,haas,27,19,19,R,0.0,0,Collision,,
2024_8,kevin_magnussen,haas,20,20,20,R,0.0,0,Collision,,
2024_9,max_verstappen,red_bull,1,2,1,1,25.0,70,Finished,6347927,1:45:47.927
2024_9,norris,mclaren,4,3,2,2,18.0,70,Finished,6351806,+3.879
2024_9,russell,mercedes,63,1,3,3,15.0,70,Finished,6352244,+4.317
2024_9,hamilton,mercedes,44,7,4,4,13.0,70,Finished,6352842,+4.915
2024_9,piastri,mclaren,81,4,5,5,10.0,70,Finished,6358126,+10.199
2024_9,alonso,aston_martin,14,6,6,6,8.0,70,Finished,6365437,+17.510
2024_9,stroll,aston_martin,18,9,7,7,6.0,70,Finished,6371552,+23.625
2024_9,ricciardo,rb,3,5,8,8,4.0,70,Finished,6376599,+28.672
2024_9,gasly,alpine,10,15,9,9,2.0,70,Finished,6377948,+30.021
2024_9,ocon,alpine,31,18,10,10,1.0,70,Finished,6378240,+30.313
2024_9,hulkenberg,haas,27,17,11,11,0.0,70,Finished,6378751,+30.824
2024_9,kevin_magnussen,haas,20,14,12,12,0.0,70,Finished,6379180,+31.253
2024_9,bottas,sauber,77,0,13,13,0.0,70,Finished,6388414,+40.487
2024_9,tsunoda,rb,22,8,14,14,0.0,70,Finished,6400621,+52.694
2024_9,zhou,sauber,24,0,15,15,0.0,69,+1 Lap,,
2024_9,sainz,ferrari,55,12,16,R,0.0,52,Collision,,
2024_9,albon,williams,23,10,17,R,0.0,52,Collision,,
2024_9,perez,red_bull,11,16,18,R,0.0,51,Accident,,
2024_9,leclerc,ferrari,16,11,19,R,0.0,40,Engine,,
2024_9,sargeant,williams,2,13,20,R,0.0,23,Accident,,
