driver_id,permanent_number,code,given_name,family_name,date_of_birth,nationality
max_verstappen,33,VER,Max,Verstappen,1997-09-30,Dutch
perez,11,PER,Sergio,Pérez,1990-01-26,Mexican
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish
sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British
stroll,18,STR,Lance,Stroll,1998-10-29,Canadian
russell,63,RUS,George,Russell,1998-02-15,British
bottas,77,BOT,Valtteri,Bottas,1989-08-28,Finnish
gasly,10,GAS,Pierre,Gasly,1996-02-07,French
albon,23,ALB,Alexander,Albon,1996-03-23,Thai
tsunoda,22,TSU,Yuki,Tsunoda,2000-05-11,Japanese
sargeant,2,SAR,Logan,Sargeant,2000-12-31,American
kevin_magnussen,20,MAG,Kevin,Magnussen,1992-10-05,Danish
de_vries,21,DEV,Nyck,de Vries,1995-02-06,Dutch
hulkenberg,27,HUL,Nico,Hülkenberg,1987-08-19,German
zhou,24,ZHO,Guanyu,Zhou,1999-05-30,Chinese
norris,4,NOR,Lando,Norris,1999-11-13,British
ocon,31,OCO,Esteban,Ocon,1996-09-17,French
leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque
piastri,81,PIA,Oscar,Piastri,2001-04-06,Australian
