circuit_id,circuit_name,locality,country
bahrain,Bahrain International Circuit,Sakhir,Bahrain
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
baku,Baku City Circuit,Baku,Azerbaijan
miami,Miami International Autodrome,Miami,USA
monaco,Circuit de Monaco,Monte-Carlo,Monaco
catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
red_bull_ring,Red Bull Ring,Spielberg,Austria
silverstone,Silverstone Circuit,Silverstone,UK
hungaroring,Hungaroring,Budapest,Hungary
spa,Circuit de Spa-Francorchamps,Spa,Belgium
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands
monza,Autodromo Nazionale di Monza,Monza,Italy
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore
suzuka,Suzuka Circuit,Suzuka,Japan
losail,Losail International Circuit,Al Daayen,Qatar
americas,Circuit of the Americas,Austin,USA
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil
vegas,Las Vegas Strip Street Circuit,Las Vegas,United States
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE
